studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Wb,100200000.0,101300000.0,Yogi Bear,2010-12-17,80000000.0,124774690.0,1.559683625,80.0,"['Adventure', 'Animation', 'Comedy']",4.6,18934,"[35, 10751, 16, 12]",En,9.096,5.3,387.0,2010,1.559683625,201500000.0
Sum.,90400000.0,108600000.0,Red,2010-10-15,60000000.0,136439693.0,2.273994883333333,111.0,"['Action', 'Comedy', 'Crime']",7.1,271570,"[28, 12, 35, 80, 53]",En,12.082,6.6,4162.0,2010,2.273994883333333,199000000.0
Sum.,90400000.0,108600000.0,Red,2010-10-15,60000000.0,136439693.0,2.273994883333333,111.0,"['Action', 'Comedy', 'Crime']",7.1,271570,[],En,0.6,5.0,1.0,2010,2.273994883333333,199000000.0
Par.,84800000.0,92800000.0,Paranormal Activity 2,2010-10-20,3000000.0,174512032.0,58.17067733333333,91.0,['Horror'],5.7,93122,"[27, 53]",En,8.163,5.7,1342.0,2010,58.17067733333333,177600000.0
Fox,77200000.0,100000000.0,The A-Team,2010-06-11,110000000.0,67241171.0,0.6112833727272727,117.0,"['Action', 'Adventure', 'Thriller']",6.8,235256,"[53, 28, 12, 35, 80]",En,17.097,6.3,2703.0,2010,0.6112833727272727,177200000.0
Sony,119200000.0,51200000.0,The Other Guys,2010-08-06,100000000.0,70936470.0,0.7093647,107.0,"['Action', 'Comedy', 'Crime']",6.7,221664,"[28, 35, 80]",En,13.508,6.2,2187.0,2010,0.7093647,170400000.0
Fox,81600000.0,86200000.0,Unstoppable,2010-11-12,95000000.0,70720921.0,0.7444307473684211,98.0,"['Action', 'Thriller']",6.8,173019,"[28, 53]",En,14.01,6.4,1913.0,2010,0.7444307473684211,167800000.0
Fox,81600000.0,86200000.0,Unstoppable,2010-11-12,95000000.0,70720921.0,0.7444307473684211,98.0,"['Action', 'Thriller']",6.8,173019,[99],En,0.6,1.6,4.0,2010,0.7444307473684211,167800000.0
Wb,94800000.0,62300000.0,The Book Of Eli,2010-01-15,80000000.0,78750817.0,0.9843852125,118.0,"['Action', 'Adventure', 'Drama']",6.9,271307,"[28, 53, 878]",En,18.985,6.7,3495.0,2010,0.9843852125,157100000.0
Wb,92200000.0,61800000.0,The Town,2010-09-17,37000000.0,115566881.0,3.1234292162162163,125.0,"['Crime', 'Drama', 'Thriller']",7.6,322524,"[80, 18, 53]",En,13.476,7.1,2386.0,2010,3.1234292162162163,154000000.0
Fox,98700000.0,53600000.0,Date Night,2010-04-09,55000000.0,97269033.0,1.7685278727272726,88.0,"['Comedy', 'Crime', 'Romance']",6.3,144683,[35],En,12.498,6.0,1743.0,2010,1.7685278727272726,152300000.0
Wb,55700000.0,84400000.0,Legend Of The Guardians: The Owls Of Ga'Hoole,2010-09-24,100000000.0,39716717.0,0.39716717,97.0,"['Action', 'Adventure', 'Animation']",7.0,73790,"[16, 12, 10751, 14]",En,10.754,6.6,1223.0,2010,0.39716717,140100000.0
